t1_totalgold,t2_totalgold,t1_barons,t2_barons,t1_dragons,t2_dragons,t1_heralds,t2_heralds,t1_towers,t2_towers,t1_inhibitors,t2_inhibitors,t1_kills,t2_kills,t1_totalcs,t2_totalcs
38990,48378,0,1,0,4,0,1,2,2,0,0,4,11,819,896
40310,48508,0,0,1,2,0,1,3,3,0,0,3,13,810,878
38365,48530,0,1,0,3,0,1,0,0,0,0,6,13,728,819
67559,48637,2,0,4,0,0,0,10,10,2,2,21,4,1070,1014
63236,48647,1,0,3,2,1,0,9,9,2,2,13,6,1184,965
34903,48709,0,1,2,1,0,0,0,9,0,1,5,19,719,805
55384,48751,1,0,4,0,1,0,8,8,1,1,19,6,887,898
61681,48771,1,0,3,2,0,1,7,7,1,1,27,11,873,817
55635,48785,1,0,2,2,0,1,9,9,1,1,20,8,934,950
57508,48827,1,0,1,3,1,0,10,10,1,1,16,14,988,939
59773,48880,1,0,1,1,1,0,11,11,3,3,25,14,909,828
59319,48968,1,0,4,0,1,0,8,8,1,1,21,14,941,814
64391,49029,2,0,4,0,1,0,9,1,2,0,19,10,1112,926
59080,49035,2,0,4,0,1,0,11,11,3,3,18,6,971,969
55711,49040,1,0,2,3,1,0,9,4,2,0,7,2,1062,1067
59483,49051,1,0,2,3,1,0,10,10,2,2,13,4,1056,1034
67147,49060,1,0,5,0,0,0,11,11,3,3,23,5,979,921
56056,49085,1,0,2,2,1,0,7,2,1,0,13,6,1019,1021
59107,49148,2,0,2,2,1,0,11,1,3,0,22,10,865,913
59209,49216,1,0,2,2,1,0,9,9,1,1,20,6,974,994
55147,49253,1,0,2,1,1,0,10,10,2,2,16,15,880,848
58114,49281,1,0,3,1,1,0,8,3,1,0,17,9,993,944
62789,49284,1,0,4,1,1,0,8,8,1,1,22,3,1068,1023
56694,49310,1,0,3,1,0,1,7,7,1,1,13,4,1047,993
59935,49411,2,0,2,2,1,0,10,1,1,0,14,5,1063,1062
55023,49494,0,1,3,1,0,1,7,7,1,1,20,7,956,931
58843,49503,1,0,1,3,0,1,10,4,2,0,24,8,912,883
62758,49504,1,0,3,2,1,0,11,11,3,3,24,7,1064,949
60830,49513,1,0,2,2,1,0,11,2,3,0,21,8,973,977
58378,49524,1,0,3,1,1,0,10,10,3,3,21,6,926,1016
61318,49525,1,0,1,3,1,0,11,11,3,3,23,6,970,991
64879,49526,2,0,4,0,0,0,10,10,1,1,15,1,1146,1073
57381,49530,1,0,4,0,1,0,9,9,1,1,14,5,965,1000
66010,49551,1,0,4,0,1,0,10,1,2,0,29,8,967,964
62789,49587,2,0,2,2,0,1,9,9,2,2,26,11,891,871
63699,49681,2,0,3,2,0,1,9,4,1,0,17,3,1090,1023
62533,49686,1,0,2,2,1,0,9,9,1,1,17,7,1129,1036
59496,49713,1,0,3,1,1,0,11,11,3,3,12,4,1078,1053
58744,49733,0,0,3,1,1,0,8,8,1,1,17,7,1064,982
64602,49745,2,0,2,3,1,0,11,11,3,3,15,4,1090,1025
63536,49750,0,0,3,1,0,1,11,11,3,3,24,7,1032,962
61833,49791,1,0,4,1,1,0,10,10,2,2,13,3,1073,1055
61932,49811,1,0,4,0,1,0,10,10,1,1,19,11,1012,887
38110,49829,0,1,0,3,0,1,2,2,0,0,4,20,730,780
40506,49848,0,0,0,3,0,0,3,3,0,0,8,20,802,777
62246,49859,1,0,3,2,1,0,9,9,2,2,16,9,1073,947
61854,49915,1,0,2,2,1,0,10,10,2,2,18,6,1078,1015
57683,49944,1,0,1,3,0,0,8,3,1,0,13,10,987,927
32658,49990,0,1,0,3,0,1,0,0,0,0,4,23,606,738
61100,49996,1,0,4,1,1,0,8,8,2,2,21,3,1050,1068
56255,50058,1,0,2,2,0,0,8,8,1,1,8,6,1094,1092
59664,50175,1,0,1,3,0,1,10,3,3,0,14,8,996,977
62780,50192,2,0,3,1,1,0,11,11,4,4,16,8,1010,978
55309,50219,0,1,3,1,1,0,8,8,1,1,19,8,964,951
62017,50296,1,0,2,2,0,1,11,11,3,3,27,10,954,919
57428,50318,1,0,1,3,0,0,8,8,1,1,15,10,992,976
36715,50336,0,1,1,2,0,1,2,2,0,0,4,14,695,852
61947,50369,1,0,5,0,1,0,11,11,3,3,15,1,1028,1072
64180,50375,2,0,3,2,1,0,11,11,3,3,19,5,1035,1002
36809,50407,0,1,0,3,0,1,1,1,0,0,6,17,701,816
55585,50417,1,0,4,0,0,0,9,9,2,2,18,12,882,898
55903,50446,0,0,4,1,0,0,8,8,1,1,17,11,910,875
36271,50549,0,0,1,2,0,0,3,3,0,0,3,14,739,839
63822,50577,1,0,4,0,1,0,10,10,2,2,13,3,1154,1065
38488,50600,0,1,0,4,1,0,2,2,0,0,5,14,767,861
42008,50683,0,0,1,3,0,0,2,2,0,0,2,12,892,889
53273,50718,1,0,1,2,1,0,5,5,1,0,17,11,905,929
57706,50738,1,0,3,2,1,0,7,2,1,0,14,4,1092,1086
